stage,Epithelial_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0.28,0,0,0,0.56,0,0
3Month,0.21,0,0.1,0,0,0.1,0.21
22Month,0,0.14,0,0.14,0,0,0
