stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,5,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.48,0,0.37,0.37,0.37,4.81,0.37,0,5.55,0.37,0,0,0,1.11,0.37,0.37,0,0,0,0,0,0,2.96
3Month,0.21,0.73,0.62,3.33,0.62,9.36,0.1,0.31,0.31,9.57,0.1,0,0.1,0.1,0,0,0,0.1,0.42,0,0,1.46,0.31,8.74
22Month,0.68,0.27,0,10.11,1.37,5.19,0,0,0,11.48,0.14,0.41,0,0,0,0,0,0,0,0.14,0,0,0,3.42
