stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,0,12,0
72hpf,0.28,0,0,0,0,0.28,0.28,7.89,0.85,0.56
21Day,0,0,0,0,0.37,0,0,5.18,0.74,0
3Month,0,0,0.21,0,0,0,0,0,0,0
22Month,0,0.14,0.55,0.14,0,0,0,0,0,0
