stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,12,0,0,0,0,0,0,0,0
72hpf,16.07,1.41,0,6.48,6.76,0.28,0,0,0,0,0,0,0,0.28,1.69,0,3.38,0,0,0,0,3.1,3.38,0,44.53,0,0,0.85,0,0,0
21Day,13.32,2.22,0,12.58,0.37,1.11,0,0,0,0,0,1.11,0,0.37,2.59,0.37,10.36,0,0,1.48,0,1.48,1.11,0.74,35.89,1.11,0,0,0,0,0
3Month,0.1,3.12,0.62,7.8,0.42,0,0.42,0.1,0,2.81,0.42,0.1,0.52,2.39,1.14,0.52,17.37,0.21,0,1.14,0.21,1.14,0,0.1,2.5,0.1,3.02,0,0.21,0.21,0.42
22Month,0,0.55,0,1.64,0.27,0,0.41,0.27,1.09,3.55,0,0,0.41,0,0.14,0.14,1.37,0,0.14,0.27,0,0,0,0.41,0.41,0,3.14,0,0,0,0
