stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,90,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,6.2,0.28,0,0,0,0.28,0,0,0,0,0,0,13.81,123.45,0,1.41,0,0,0,1.69,5.64,3.95,0.28,0.28,0,0.85,0,0.28,0.85,0,0,0,0,0
21Day,1.11,0,2.96,30.34,0.74,0,0.37,0.37,0,0,0,0.37,0,4.07,7.77,2.22,56.98,2.59,3.33,0,0,1.48,0,2.59,0.74,2.59,0,0,1.85,1.48,1.48,0.37,0.37,1.48,0,0,5.92
3Month,0.21,0.62,8.84,62.62,0,0.73,0.1,25.07,3.02,0,0,10.82,2.5,0.31,197.63,4.47,2.5,13.73,2.6,0.83,0.1,21.95,9.26,0.62,0,11.55,0.1,0,0.31,1.04,54.5,0.1,0,0,0.94,39.53,6.14
22Month,0.14,0.82,15.99,79.8,0,0.27,0,40.86,3.69,1.23,0,61.08,0.55,1.37,330.15,1.37,0.41,4.78,2.46,0,1.91,20.77,0.82,0.96,0,16.81,0.82,0.14,0,0.41,15.99,0.27,0,0,0.14,0.14,3.55
