stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,3,0,0,0,32,0,0,0,0,0,0,0,0
72hpf,2.82,0.56,0.56,0,2.25,0,0,0,0,0,0,0,0.28,0,0.85,3.1,0,48.2,0,0,0.56,0,9.3,5.07,0,0.28,0,221.81,0,0,0.85,1.41,0.28,1.97,0,0
21Day,1.11,0.74,2.22,0,2.22,0,0,0,0,0,0.74,0,0.37,0.37,0,2.96,0.74,108.41,0.37,0,13.69,0,3.7,1.48,0,0.37,0,53.28,3.7,0,0,1.48,1.48,0.74,0,0
3Month,0,2.18,2.91,0.21,0,0.1,0.21,0.42,1.35,0,3.95,0.73,0.1,1.14,0.1,0.31,0.94,56.79,1.25,0.1,2.5,0.21,0.31,0,0.94,0,0,0,0.52,9.88,0,0,0,0.21,7.7,0.21
22Month,0,1.64,1.23,0,0,0.27,0.14,0.41,2.19,0.14,12.71,0.41,0,0.96,0,0,0.27,25.69,0.27,0.55,1.09,0,0.27,0,0.41,0,0.14,0,0,6.29,0.14,0.55,0,0,0,0.27
