stage,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Pancreatic_cell
72hpf,0,0.28,0,0,0,0,0,0,0
21Day,0,0,1.48,0.37,0,1.11,0,0.37,0.37
3Month,0.1,0,4.06,0.1,0.1,0.21,0.1,0,0
22Month,0,0,1.64,0,0,0,0,0,0
