stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,21,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,3.66,2.25,0.28,0.28,0,0,0.28,0.28,0,0
21Day,0,0,0,0.37,0,0.37,0.37,0,0.37,0,0,0.37,0.37,1.48,0,2.59,1.11,0,0,0,0,0.37,0,0,0.37
3Month,0,0.21,0.1,0.31,0.1,0,0.94,0.1,0.21,0.1,0.21,0.31,0,0.1,0.1,0.1,0,0,0,0.21,12.48,0.1,0,6.35,0
22Month,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
