stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
72hpf,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0.37,0,2.22,0,0,0,0,1.11,0,0,0
3Month,1.46,0.1,0.21,0.1,0.1,0.21,0.62,0.52,0.42,0.21,0,0.1,0.31,0.1,0.21,0,0.1,0.1,8.43,4.37,0.1
22Month,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
