stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0
72hpf,0,0,0,2.54,0,0.28,0,0.85,0,1.69,0.56,0.28,2.82,0,0,0.28
21Day,0.74,0,0.37,9.62,0,3.7,0.37,1.11,0,10.73,1.11,0,5.92,1.11,0.37,0
3Month,0,0,0,0,0.21,0,0,0,0.1,0.21,0,0,0,0,0,0
