stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,1.13,0,0,0,0,0,0,0,0,0,0.28,0.28,1.97,0,0,0,0,1.41,1.13,0,0,1.13,0,0,0.56,0,0,0
21Day,0.37,0,0,2.96,0,0,0,0,0,0,0,0.74,0,0.37,0.74,0.37,1.11,0,0,0,0,0.37,0.37,0,0,0,0,0,0.37,0,0,0
3Month,0,0.42,0.31,2.91,0,0.62,0.52,0,0,77.18,0.52,0,0.52,0.31,1.25,2.7,1.77,0.31,0,0.42,0.83,0,0,0.21,0.42,0,0.52,1.66,0.1,0.42,3.64,0.42
22Month,0,0.41,0,1.37,0,0.27,1.23,2.32,0,34.16,0.27,0.14,0.41,0.27,0.14,2.6,1.91,0,1.64,0,0.27,0,0,0.14,0.14,0,0.14,0.27,0,0.27,0,0.68
