stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,14.09,1.13,0,0.56,0,0,0,0,0,0,0.28,0,0,0.56,0,1.97,0.85,0.28,0,0.56,0,0,0,0,0,0,0
21Day,20.72,0.74,2.22,0.74,0,0,0.37,0,0.74,0,0,0.74,0.37,1.48,0.37,1.85,1.11,0,0.37,0,0,0,0.37,0.74,0,0,0.37
3Month,0.62,0.31,0.42,0,0,0,1.04,0,0,0.52,0.21,0,0.31,0,0,0,0,0,0.31,0,0.1,0.21,0,0,0.1,0.1,0
22Month,0.14,2.87,0.41,0,0.27,0.55,4.51,0.14,0,0.41,0,0.14,0.82,0.27,0,0,0,0,0.14,0,0,1.78,0,0,0.14,0,0
