stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0.56,0,0,0,0,0,0,0.28,0.85,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0.37,2.22,0,0,0.74,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.31,0.52,2.91,0.1,0.31,29.12,0,5.72,2.08,0.1,1.35,0.73,0.42,2.6,1.87,1.77,0,0.42,0.31,0.52,0,0.31,0.1,0.1,0.52,0.1,0.62,0.62,0.1,1.35
22Month,0.82,0,1.78,0.27,0.14,33.34,1.5,16.94,1.23,0.14,1.5,0,0.14,3.55,1.64,0,0.27,0,0,0,0,0.27,0.41,0,0,0,0,0,0,0.96
