stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
72hpf,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0.56,0.28
21Day,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0.37,0,0
3Month,0.21,0,0,0.21,0.1,0.62,0,0.1,0,0,0,0,0,0.1
22Month,0,0,0.14,0.14,0,0.41,0,0,0.14,0,0,0,0,0
