stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.56,8.74,0,1.13,0,0,0,0,2.82,1.13,0,0.56,0,0,0.28,0,0,0,0,0
21Day,1.11,0.37,0,11.47,0.74,0,0.37,0,0,0,0,0,0.37,0.74,0.74,0,18.87,1.11,2.59,0,0,0,0,1.85,0.37,0,0.74,0.37,0,0.74,0.37,0,0,0,1.11
3Month,0.31,1.35,1.77,22.88,0,0.31,0.42,0,6.45,4.58,0,27.25,5.1,1.04,32.66,1.87,3.95,5.82,6.97,1.56,0.21,3.22,1.04,0.62,0.1,2.08,0.1,1.14,6.14,0.1,0,0.21,0.94,0.83,12.69
22Month,0.14,2.32,1.37,10.8,0,0.14,0.14,0.14,4.37,8.88,1.91,33.62,3.55,0.55,26.65,1.09,1.5,6.42,6.97,0.55,1.09,1.37,0,0.41,0,1.37,0,0.14,1.5,0,0.14,0,0.27,0,3.96
