stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,1.69,0,3.38,410.93,0,1.41,0,0,0,0,0,0,0,0,5.92,1.13,1.69,0,0,0,0,18.04,8.17,0,0,0,1.41,0,0,0.85,0.28,0.56,0,0,0
21Day,2.59,0.74,0,7.77,567.19,0,98.05,0,0.37,0,0.74,0.37,2.22,1.11,0.37,3.33,2.59,8.14,0,0,0,0,9.99,5.55,1.11,1.11,0,1.11,8.88,0,0,4.81,0,0,0,1.11
3Month,0,0.42,0.21,6.76,0,6.87,1.04,1.56,0.1,0,14.98,0.52,0.1,8.95,0.73,0.94,0.83,0.94,0.1,0,1.25,1.14,0.21,0.1,1.98,0.1,0,0.21,0.73,20.7,0.1,0,0,0.21,16.75,0.52
22Month,0.14,0.55,0.55,3.96,0,6.29,0.82,1.23,0.96,0.41,22,0.68,0.27,8.2,0.14,0.55,2.46,1.64,0.14,0.27,1.5,0.27,0.41,0,0.96,0.14,0.14,0,0.27,3.01,0.14,0,0,0,0,0.55
