stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,1.41,0,8.46,1.13,0.85,0,0,0,0,0,0,0,0,0,0.28,18.88,0,4.79,0,0,0,0.56,95.55,1.97,0,0.28,0,2.54,0,0,1.41,0.56,0,0,0
21Day,0.74,1.11,0,7.03,0,1.48,0,0.37,0,0,0,0.37,0,0.74,0.74,1.11,4.44,0,10.36,0,0,1.11,0.74,51.06,1.48,0,1.11,0,1.85,1.48,0,0,0.37,0,0,0
3Month,0.1,0.21,0.1,5.72,0,0,0.1,0,0.31,0.94,0,4.06,0.52,0.21,1.46,0.52,1.25,0.42,2.18,0.42,0,0.1,2.91,1.87,0,0.21,0.42,0,0.21,0.21,2.5,0,0.1,0.52,0.83,0.62
22Month,0,1.91,0.41,1.78,0,0,0,0.14,0.27,3.01,0.41,14.21,0.68,0.27,1.78,0,0.27,1.5,2.19,0.27,0.41,0,0.55,2.05,0,0.14,0.27,0.41,0,0,1.64,0.68,0,0,0,0.41
