stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0.31,0.1,2.18,0,0.1,0.1,0,1.04,0.31,0.1,0.94,0.21,0.1,0.31,0.21,0,0.1,0,0,0,0.1,0.1,0.52,0.21,0.21,5.3,0.31
22Month,0,0,0.14,0,0,0,0.14,1.09,0,0,0,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0
