stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,31,12,66,3,0,0,0,218,1,1,2,10,38,40,102,52,888,1,20,0,0,3,0
72hpf,0.28,0,14.37,0,0,0.28,0,0.85,0.28,0,0,0,2.54,0,0.28,1.97,3.66,0,0.56,0,0.28,0,0
21Day,0,0,1.11,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0
3Month,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,1.56,0,0,0,0,0.1,0.1,0,0.1
