stage,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,1.69,0.28,0,0,0,0,0.85,1.13
21Day,0,0,0,0,0.37,0.37,0,0,0.37,0.37,0.37,0,0.37
22Month,0.14,0.82,0,0.14,0,0,0,0.14,0,0.27,0,0,0
