stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
72hpf,0.56,0,0,0,0,0,0,0.56,0.28
21Day,0,0.37,0,0,0,0,1.48,0.37,0.37
22Month,0,0,0.14,0.82,0.14,0.14,0,0,0
