stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
72hpf,0.28,0.28,0,0,0,0,0.28,8.17,0.28,0.28,0,0.28
21Day,0,0.37,0.37,0,0,0,0,2.22,0.74,0,0.37,0.74
3Month,0,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0
22Month,0,0,0,0.14,0.14,0,0,0,0,0,0,0
