stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0.85,0.56,0,0,0,0,0,0.28,0,0,0
21Day,0,0.74,0.37,0,1.48,0,0,0,0.37,0,0,0,5.55,0,0,1.11,0.74,0,0,0.74,1.11,0,0.37,0,0,0
3Month,0.1,5.3,0,0.1,3.43,0,2.5,0.31,0.42,0.52,0.31,0.1,0.42,0,0.1,0.21,0.1,0.1,0,0,0.21,2.6,0.1,0.21,14.35,0
22Month,0,1.64,0,0,8.88,0.14,5.06,0.27,0.27,0.14,0,0.27,0.27,0.14,0,0,0,0,0.14,0,0,1.78,0.27,0,0,0.14
