stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,6,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.41,3.95,0.28,0,0,0,0,0,0,0,0.28,1.41,0,0.28,0,0,0,0.28,45.66,4.51,0,0,1.41,0,0.28,1.41,0,0,0,0
21Day,0,0,0,1.48,3.7,0.74,0,0,0,0,0,0,0,0,1.11,0,1.85,0,0,0,0,11.84,2.22,0,0.37,0.37,0.37,0.74,0.37,0.37,0,0,0.37
3Month,0,0.52,0,19.97,1.04,0,0,0.42,0.73,5.2,0.73,0.1,1.35,3.74,1.46,1.14,1.25,0.21,0.1,0.31,1.04,7.59,0.1,1.14,0,0.21,0.62,40.15,0.42,0.73,0.62,135.64,1.35
22Month,0,0,0.14,7.24,0.41,0,0.14,0,0.55,5.6,0.14,0.41,1.23,0.55,0.14,0.41,0.68,0,0.41,0,0,1.78,0.14,0.55,0,0,0,8.75,0,0.14,0,0.14,0.14
