stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0.28,0,0,0
21Day,0.37,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.74,0.74,0,0
3Month,0,0,0.1,0,0.42,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0,0,0.21,0
22Month,0,0.27,0,0.14,1.5,0.14,0.14,0.68,0.14,0.14,0.14,0,0,0.14,0,0,0,0,0.14
