stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0,0,0.37,0,0.74,0.37,0,0.37,0,0.74,0,0,0
3Month,0,0.73,0.83,24.55,0.52,0.21,0.62,11.96,0,116.92,3.64,0,2.39,0.1,2.39,2.7,1.04,0.31,0.1,0.42,0.21,0.31,0,0.21,1.87,0.31,0,0.31,0.21,1.35
22Month,0.14,0,0.27,8.47,0.27,0,0.82,3.69,0.14,16.53,1.09,0.27,3.14,0,1.37,1.37,0.55,0,0.55,0,0,0.27,0,0.14,0,0.55,0,0,0,0.14
