stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.56,0,0.28,0,0,1.13,4.23,0,0,0
21Day,0.37,0,0,1.48,0.37,0,0,0,0,0.37,0.37,0,1.11,0.37,1.11,0,0,0,0.74,0,0,0,0,12.95,71.41,0,0.37,0
3Month,0,0.1,0.1,1.25,0,0.21,0,1.87,0.42,0,0.62,0.21,0.21,0.1,0.31,0.1,0,0.52,0,0,0.1,0.21,16.75,0,0,0.21,36.3,0.31
22Month,0,0,0,0.27,0,0,0.41,2.46,0,0,0.14,0,0,0.27,0.41,0,0.14,0,0.27,0.14,0,0.14,1.37,0,0,0.14,0,0.14
