stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell
3Month,0,0.31,0.31,0.1,0.1,0
22Month,0.14,6.56,1.23,0.14,0.14,0.27
