stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,6,0,0,0,0,0,0,0,0,0,1,2,4,4,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,2.82,0.28,0,0,0,0,0,0,0,0,2.54,2.82,0,0.28,0.56,0,0,3.1,1.97,0,0,0.85,0.28,0,0.85,0.28,0,0,0,0
21Day,0,0,0,11.84,0,0,0,0.37,0,0,0,0.37,0,0,3.7,0.37,0.37,0,0.37,0,2.22,1.48,0,0,0.74,0,0.74,0,0,0.74,0,0,0
3Month,0.1,0,0.42,14.77,0,0,0.52,0.1,0,12.27,0.31,0,4.26,1.04,4.26,0.62,0.83,0,0.52,0.21,1.04,0.1,0.31,0.1,0.1,0.62,4.26,0.1,0,0,0.21,0.62,0.31
22Month,0,0.82,0.27,7.65,0,0.27,1.64,2.05,5.74,44.68,0.68,0.14,9.57,0.41,1.23,1.78,0.96,1.23,0.68,0,0.14,0.14,0.68,0.14,0,0.14,2.05,0.55,0,0,0,0,0.27
