stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Radial_glia,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,17.79,0.1,0,0.21,0,0.1,0.21,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0.1
22Month,3.96,3.83,3.55,0.14,0.27,0.14,0.14,0.27,1.23,407.76,1.5,0.14,1.91,0.82,0.41,0.82,3.69,0.14,1.78,1.78,0.14,0.14,1.37,0.82,0,0.27,0.14,0.14
