stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0
72hpf,2.82,0.28,0,1.13,0.56,1.69,0,0,0,0,0,0,0,0,0,0.28,1.69,0.56,3.95,0,0,0,0,225.76,5.92,0,1.69,3.1,0.28,0,1.69,0.28,0.28,0.56,0
21Day,0.37,0,0,1.11,0,2.22,0,1.11,0,0,0,0,0,1.11,1.11,0,1.48,0.74,2.22,0,0,0,0,83.25,2.59,0,0.74,0.74,2.22,0.37,0.74,0.74,0,0,0.37
3Month,0,0,0.1,1.46,0,0,0,0,0.21,0,0.1,0.83,0.62,0.1,0.21,0,0.42,0.21,0.73,0.31,0,0.1,0.1,3.64,0.31,0.1,0.42,0,0,0.52,0.1,0,0,0,0.21
22Month,0.14,0.14,0,0.96,0,0,0.14,0,0,0.68,0.14,6.97,0,0.14,0.68,0,0.14,0.68,1.91,0.14,0.14,0.41,0,3.14,0.14,0,0.27,0.82,0,3.55,0.82,0,0,0,0.27
