stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0,0.56,5.64,0,0,0,0,0,0.85,0.28,0.28,0,0,0,0,0
21Day,0,0,7.77,0,0,0,0,0,0,0,0,0.37,5.92,0.74,0,0,0,0,0,0,0.37,0,0,0,0,0.37
3Month,0,0,33.08,0.1,0.21,0.1,0.1,0,0.73,0.31,0.62,0.21,0.31,0.31,0.1,0.1,0,0.1,0,0,0,0.1,0.62,0.1,0.1,0.31
22Month,0,0.14,1.23,0,0,0,0.14,0.68,4.24,0,1.37,0,0,0.14,0.27,0,0.14,0,0,0,0,0,0.82,0,0,0.14
