stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Radial_glia,T_cell
3Month,0,0,0.1,0,0,0.42,0,0,0,0,0,0,0,0
22Month,0.14,0.14,0.55,0.14,0.14,6.56,0.27,0.82,0.27,0.14,0.41,0.14,0.14,0.14
