stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.37,0,0,0,0,0,0,0,0,15.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0,0.21,1.87,0.1,0.62,4.47,0,4.16,166.43,0.1,1.35,0.1,0.1,2.7,0.83,0.42,0,0.31,0.52,0,0,0.1,0.21,0.83,0.42,0.1,1.35,0.52,0.21
22Month,0,0.14,0,0.14,0,0,0.82,0.27,2.32,56.85,0,0.27,0,0,5.6,0,0.14,0.14,0.14,0,0.14,0.14,0,0,0,0,0.14,0,0,0.14
