stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0.28,1.41,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,2.96,0,0,0,0,0,0,0,0,1.11,0,1.11,0,1.11,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37
3Month,0.83,4.58,0.31,0.1,1.25,0.52,0,1.04,0.62,0.21,12.48,0.62,0.73,0.42,0.31,0.21,0.1,0.31,0.42,0,0.31,0.1,0.52,1.14,0,0.21,0.83,1.77
22Month,0.14,1.78,0.27,0,0.41,0.68,0.14,6.29,0.41,0.55,11.48,0.27,0.14,1.37,1.23,0,0.68,0.14,0,0.14,0,0,0,0.82,0.14,0,0,0.14
