stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0.28,0,0,0,0,0,0,0,0,0,0.28,7.33,0,0.28,0,0,1.69,0.28,0,0,0.28,0.85,0,0,0.56,0,0,0
21Day,0.37,0,1.85,15.91,0,0.74,0,0.37,0,0,0,0,0.37,1.48,0.37,2.96,0,0,0,0,1.11,0.74,0.37,0,0,0,0.37,0,2.96,0,0,0
3Month,0,0,1.66,10.92,0,0,0.31,2.29,0.1,0,1.04,0.1,0,14.15,0,0.83,0.73,0.62,0.73,0.21,0,0,0.1,0.1,0,0.31,8.11,0,0,0.1,0.31,0.31
22Month,0,0.14,0.27,1.5,0,0,0,0.41,0.27,0.27,5.06,0.14,0,4.51,0,0.14,0,0,0.55,0,0.14,0,0,0,0,0,0.41,0.14,0,0,0,0.14
