stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.41,0.85,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0.37,4.81,0,1.11,0,0.37,0.74,0,0,0,0,0,0,1.48,1.11,0.74,0,1.48,0,0.37,0.74,0.74,0,0,0,0.37,0,0,0,1.11
3Month,0,0.1,0.1,1.87,0,0,0,0.1,1.66,0,0,1.56,0.52,0.62,0.21,0.73,1.25,0.21,0,0.1,0.1,0.31,0,0,0,0.42,0,0,0,0.1,3.02,0.21
22Month,0.27,0.41,0.14,0.68,0,0,0.14,0.27,3.14,0.14,0,5.88,0.82,0.27,0,0.14,1.23,0.96,0.14,0,0,0.14,0,0,0.14,0,0.14,0,0,0,0,0.55
