stage,Granulocyte,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.28,0.85,0.56,0.28,0,0
21Day,0,0,0,0,1.11,0,0,0,0
22Month,0.14,0.14,0.27,0,0,0,0,0.14,0.14
