stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,15,86,0,0,0,0,0,0,0,0,0,0,0
72hpf,12.68,1.97,5.92,3.1,8.74,0,0.56,0,0.28,0,0,0,0,0.28,2.25,15.78,2.25,32.98,0,0.56,0.85,0,1221.81,127.68,1.41,0.56,24.24,0.28,0,21.14,1.69,2.82,3.38,0,0
21Day,1.85,0,3.7,1.85,4.81,0,0.37,0,0.74,0,0,0.37,1.85,0.37,0,1.48,0,25.53,0,0,0.74,0,198.68,25.53,0.37,0.37,4.07,4.44,0,2.96,0,2.59,0.37,0,0
3Month,0,0,0.94,0.1,0,0,0,0.1,0.52,0,2.7,0.42,0,1.14,0,0.21,0,7.49,1.77,0,0.1,0.1,0.52,0.52,0.21,0,0,0,1.56,0.31,0,0,0.52,0.73,0.52
22Month,0,0.68,0.55,0,0,0.14,0,0.14,1.23,0.14,10.11,0.27,0.14,1.23,0,0,0.68,2.05,0.14,0.14,0.27,0.14,1.23,0.14,0.82,0.41,0,0,6.01,0.27,0,0,0,0,0.41
