stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0,1.13,0.28,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0.42,0.31,0.94,0,0.21,0.1,0,30.79,0.42,0,0.73,0.21,0.21,0.42,0,0.1,0.42,0,0,0.21,0.31,2.39,0,1.14,0
22Month,0.14,0.14,0.55,0.14,0,0.41,0.27,52.47,0.68,0.14,0.68,0,0.68,0.96,2.46,0,0.27,0,0,0,0,2.6,0.14,0,0.27
