stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Primordial_germ_cell,Retinal_cone_cell
21Day,0,1.11,0,0,0.37,0.37,0.37,0,0.37,0,0.37
3Month,0.1,1.14,0.31,0.31,0.31,0.21,0.31,0,5.41,0.21,0
22Month,0,0.82,0.82,0,0,0,0,0.14,5.06,0.27,0
