stage,Epithelial_cell,Erythrocyte,Hepatocyte,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,11,0,0,0
72hpf,0,0.28,0,0,2.82,0,0,0.56
21Day,0.37,0,0,0,0.37,0.37,0.74,1.48
3Month,0.1,0,0,0.42,0,0,0.62,0
22Month,0,0,0.27,0,0,0,0.14,0
