stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.56,0,0,0,0,0,0,0,0,0.85,0.85,0,0,17.47,0.85,0,0.28,0,0.28,0,0,0.28,0.28,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0.74,5.92,0.37,0.37,0.74,0,0,0,0.37,0,0,0
3Month,0,0.52,0.1,0,0,0.1,0.1,0.31,0.83,0.1,0,0.31,0.31,0.42,0,0,0.1,0,0.1,0,0,0.1,0.1,0.42,0,0,0.21
22Month,0,0.27,0.55,0,0.14,0,0,0.14,2.32,0,0.14,0.14,0.14,0.14,0.14,0,0,0,0.27,0,0.27,0,0,0.41,0,0,0
