stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0.28,0,0,0,0,1.13,0.56,0,0,0,0,0.28,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0.37,0.37,0,1.85,0.37,0,0,0,0.37,0,1.85,0.37,0,0,0,0,0,0,0.74
3Month,0.1,0.31,8.63,0.21,0.94,1.14,0,2.39,0.83,0.1,4.99,0.52,1.04,0.73,0.73,0.1,0,0,0.1,0,0,0,0,0.73,0.1,0,0.1,1.66
22Month,0.27,0.14,1.64,0,0.55,1.64,0.14,4.92,0.82,0.27,2.73,0.14,0.41,1.5,1.09,0,0.41,0.14,0,0,0,0.14,0.14,0.55,0.14,0,0,1.5
