stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,2.25,1.13,0.56,0,0,0.56,0.28,0,0,0
21Day,0.74,0,0.37,0,0.74,0,0.37,0,0,0,0,0,0.37,0,0,0,0.37,0,0,1.11,0.74,0,0,0,0.37,0,0,0,0
3Month,0,0.1,3.85,0.1,0,0.21,0,0.52,0.73,0,2.5,0.31,0.21,2.08,0.73,1.46,0.21,1.46,1.25,0.1,0,0,0.21,0.42,0.1,0.1,0.62,0.52,0.62
22Month,0,0,0,0,0,0,0,0.14,0,0,0.96,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
