stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,21,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,0,0,0.28,0,0.28,0,0,1.97,1.69,0.28,0.28,0,0,0
21Day,0.37,0,0.37,0,0.37,0,0.37,0,0,0,0.37,0.37,0.74,0,0,1.48,0.74,0,0,0,0,0
3Month,0,0.62,0,0.1,0,0,0.94,0,0.73,0.1,0.52,0.1,0.1,0,0.1,0.1,0,0,0.1,1.25,0.31,0.21
22Month,0,0.27,0,0,0,0.14,4.65,0,0.14,0,0,0.14,0,0.27,0.14,0,0,0,0,0.41,0,0.41
