stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,1.13,10.99,0,1.13,0,0,0,0,1.13,1.13,0,0,0,0.28,0,0.28,0,0.28,0,0,0
21Day,0.74,0,0,13.69,0.37,0,0,0,0.37,0,0.74,0.37,2.22,51.06,0.37,0.74,0,0,0,0,2.22,0.74,0,0,1.11,0,0.37,0,0.37,0,0,0,0.37
3Month,0.1,0.31,0.31,16.12,0,1.87,0.83,0,2.5,0.83,0.31,4.16,2.08,0.94,0.62,0.83,0.1,0,0.1,0.31,0.1,0,0,0.1,0.1,0.1,11.96,0,0,0,0.31,15.29,1.25
22Month,0,0.14,2.05,6.42,0,2.05,0.41,0.27,8.06,0.41,0.14,10.39,0.68,0.68,0.82,1.09,0.14,0.41,0.14,0,0,0,0.55,0.14,0,0.14,1.78,0,0,0,0,0.14,0.68
