stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,5,15,1,0,0,0,0,0,0,0,0,0,0
72hpf,6.48,0.28,0.85,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,1.41,0,1.69,0,0,0,0,24.52,3.1,0.28,0.28,0.85,0,0,0.28,0.28,0,0,0,0
21Day,3.33,0.37,6.29,0,0,0,0.74,0.74,0,0,0,0.37,0,0,0.37,0.37,1.48,0.74,2.96,0,0,1.48,0,6.29,2.22,0,0,0,0.37,0,0.37,0,0.37,0,0,0
3Month,0,0.42,13.63,0,0,0.21,0.1,10.51,2.5,0.42,0,10.3,0.83,0.42,7.39,0.52,1.14,1.04,2.6,0.73,0.1,2.18,0.21,1.04,0.1,3.54,0.1,0.21,0.42,2.29,0.1,0,0,1.87,37.13,1.46
22Month,0.14,0.27,4.51,0,0,0,0,3.28,2.19,0.27,0,22.14,0,0.27,4.24,0.14,0,0.82,2.05,0,0.41,0.68,0,0.14,0.27,3.96,0.14,0,0,1.23,0.68,0,0,0.14,0.14,0.55
