stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0.28,2.82,0,0,0.28,0.56,0
21Day,0,0,0,0.37,0.74,0,0,0.37,0,0
22Month,0.14,1.78,0.14,0,0,0,0.14,0,0,0.14
