stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0,0,0,0,11.56,0,0,0,0,0,0,0,0,0.56,0.85,0,0,0.56,0,0,0,0.28,0,0,0,0
21Day,1.11,0,0,3.33,0.37,1.11,0,1.48,0,0,0,0.37,0.74,56.24,0,0,1.11,1.11,4.07,0,0.37,0,4.44,1.48,0,0.37,1.11,2.96,0,0,0.74,3.33,0,0,50.32
3Month,0.31,0.31,0.1,5.2,0.1,0,0.94,0.1,0.62,1.98,0.1,2.7,3.22,13,1.25,0.42,1.77,7.59,3.02,0.83,1.46,0.21,0.52,0,3.85,0.31,0.1,1.66,2.29,0,0,0,0.62,1.04,130.75
22Month,0,0.55,0.14,1.5,0,0,0.41,0.14,0.68,2.73,0.14,3.83,0.82,12.71,0.55,0.14,0.27,8.47,1.37,0.14,0.41,0,0,0,1.91,0.14,0.14,0.55,0.82,0.14,0.68,0,0,0,38.13
