stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,0,0,0,0,0,0,0,0.28,0,0
21Day,1.85,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0
3Month,0.1,2.81,0.1,0.31,0.1,0.1,5.2,0.1,0.1,0,0.1,1.14,0.73
22Month,0,0,0,0,0.27,0,0,0,0,0,0,0,0
