stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,1.85,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7
3Month,1.35,1.35,0.21,0.73,0.52,0,1.77,0.42,0.21,11.96,0.1,0.21,0.31,0.21,0.1,0.1,0.21,0,0,0.1,0.1,0.73,0,0.1,0.21,0.21,18.52
22Month,0.82,0.27,0.14,0.82,0.55,0.14,2.87,0.27,0.14,8.06,0.14,0,0.27,0.55,0,0,0,0,0,0.14,0.14,0.68,0.14,0,0,0,7.65
