stage,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,2,0,5,0,0,0,0,0
72hpf,0.28,0,0.56,0.28,1.13,0.28,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0
3Month,0,0.1,0,0,0,0,0,0.1,0,0.1
