stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0
3Month,0.1,0.42,0.1,1.14,0,0,0.21,0.21,4.58,0.31,0.83,0.1,0.31,0.1,0.31,0.1,0.21,0.1,0,0,0.1,0,0.94,0,0,0,0.94,0.31
22Month,0,0,0,0.14,0.14,0,0,0,2.87,0,0.55,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0.27,0.14,0,0,0
