stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.56,0,0,0.28,0,1.69,5.07,0,1.13,0,0,0,0
21Day,0.37,0,0.37,0.74,0,0,0,5.55,0,0.37,1.48,0.37,0.37,0,0
3Month,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.52,0.1
22Month,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0
