stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell
72hpf,0,0,0,0,1.13,0,0,0
21Day,0.37,0,0.37,0,0,0.74,0.37,0.37
3Month,0,0.21,0,0.1,0,0,0,0
