stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0,0,0,0.28,0.28,0.56,0,0,0,1.69,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0.37,0,0,0.74,0,0,0.37,0,0.74,0,0,0,0,1.11,0,0,0.74,0,0,0
3Month,0.1,0.73,0,7.59,0.1,0,0.1,0.31,1.04,0.21,10.71,0.42,0.21,1.35,1.35,1.87,0.73,4.78,2.29,0,0.1,0.1,0.42,0,0.31,0.21,0,0.94,0.42,0.73,0.42,0.31,0.21,1.35
22Month,0,0.14,0.14,2.32,0,0,0,0,0,0.41,12.71,0.14,0,1.64,0,0.14,0.27,1.23,0.14,0.41,0,0,0.14,0,0,0,0.14,0.14,0.14,0.55,0.68,0,0,0
