stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0
72hpf,0,0,0,0,0,0.28,0,0.56,0,0,2.82,1.69,0.28,0,0
21Day,0,0.74,1.11,0.74,0.74,0,0.37,1.11,0.37,0.37,2.22,2.96,0,0.37,0.37
