stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4,0,0,0
72hpf,0,0,0,0,0.28,0,1.41,1.13,0.28,0,0
21Day,2.22,0.37,0,0.37,0,0,0.74,1.11,0,0,0
3Month,0.1,0,0.31,0,0,0.1,0,0,0,2.7,0.21
