stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0.37,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.31,1.14,0.21,1.66,0.21,0.42,0.21,16.23,0.1,0.31,0.21,0.1,0.1,0,0,0.31,0,0.21,0,0.1,0.21,0.1
22Month,0.14,0.27,0,0.68,0.14,1.09,0,7.11,0,0,0.27,0.14,0,0,0,0,0,0.27,0,0,0,0
