stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,9,110,0,0,8,0,0,0,0,0,2,0,0,0
72hpf,6.48,0.85,4.79,1.13,4.23,0.28,0,0,0.28,0,0,0,0.56,0,1.69,8.74,1.41,17.47,0,0.28,0,482.24,60.03,0,1.13,18.32,0.28,0,12.97,1.13,0,0.56,0,0,0
21Day,1.11,0.37,4.07,0,1.85,0,0,0,0,0,0.37,0,0.37,0.37,0.74,0.74,0.37,14.43,0,2.22,0,75.48,9.25,0,0,2.22,2.96,0,1.11,0.37,0.37,0.37,0,0,0.37
3Month,0,0.21,2.29,0,0,0,0.21,0.21,0.94,0,1.04,0.31,0.1,0.21,0.21,0.94,1.35,15.29,2.29,1.04,0.21,0.83,0.1,0.1,0,0.21,0.42,10.71,1.25,0.1,0,0,0.1,0.94,0
22Month,0,0.14,0.41,0,0,0,0,0,0.27,0.14,3.01,0,0.27,0.27,0,0.55,1.37,10.66,0.55,1.23,0,0.55,0.14,0,0.14,0.14,0,7.52,1.91,0,0,0,0,0,0
