stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,162,10,0,0,0,0,0,0,0,1,0,0
72hpf,0.56,0.28,0,2.25,1.13,1.41,0,0.28,0,0,0,0,0,0,0.28,5.64,0.56,4.79,0,0,0,160.94,5.92,0.28,3.1,8.74,0.28,0,1.97,0.28,5.64,0,0
21Day,2.22,0.37,0.37,5.18,0.37,2.96,0,0,0,0,1.85,0.37,0.37,1.11,0.74,3.33,0.37,3.7,0,0,1.48,115.07,3.33,1.11,6.66,4.07,2.96,0.37,1.48,1.48,2.96,0,1.11
3Month,0.1,0.94,0,1.87,0.1,0,0.31,0.21,0.21,0,2.39,0.21,0,0.1,0,0.62,0.62,0.42,0,0,0.31,5.62,0,0.42,18.62,0.31,0.1,6.87,3.33,0,0.42,5.62,0.21
22Month,0.14,0.27,0,0.68,0.14,0,0,0.55,0,0,4.65,0,0,0.55,0,0,0.41,0.96,0.14,0.27,0.14,6.42,0.14,0.68,31.02,0,0,3.01,6.83,0,0,0,0.41
