stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0.56,0,0,0.56,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.37,0,0.37,0,0.37,1.11,0.37,0.74,0,0,0,0,0
3Month,0,0.62,0.42,7.49,0,0.1,0.1,1.25,0.83,0,2.6,1.25,0.21,2.81,0.42,0.73,1.46,1.25,0.73,0,1.77,0.21,0,0.31,0,0,0.1,1.14,0,0,0.1,7.8,0.94
22Month,0,1.5,0.14,0.82,0,0,0,0.14,1.5,0.41,6.42,0,0,2.05,0,0,1.37,1.09,0,0.14,0.55,0,0,0,0,0,0,0.27,0.14,0.27,0.27,0.14,0
