stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,1.69,0.56,0
21Day,0.37,0,0.37,0,0,0,0,1.11,0,0
3Month,0,0,0,0,0,0,0.1,0,0,0.1
22Month,0,0.14,0,0.14,0.14,0.41,0,0,0,0
